国家/地区,中国,印度,美国,印尼,巴基斯坦,巴西,尼日利亚,孟加拉,俄罗斯,墨西哥,日本,埃塞俄比亚,菲律宾,埃及,越南,刚果（金）,土耳其,伊朗,德国,泰国,法国,英国,坦桑尼亚,南非,意大利,肯尼亚,缅甸,韩国,哥伦比亚,西班牙,乌干达,阿根廷,苏丹,阿尔及利亚,乌克兰,伊拉克,阿富汗,加拿大,波兰,摩洛哥,沙特阿拉伯,乌兹别克斯坦,安哥拉,秘鲁,马来西亚,莫桑比克,加纳,也门,尼泊尔,委内瑞拉,马达加斯加,喀麦隆,科特迪瓦,朝鲜,澳大利亚,尼日尔,斯里兰卡,布基纳法索,马里,马拉维,智利,罗马尼亚,哈萨克斯坦,赞比亚,叙利亚,厄瓜多尔,荷兰,塞内加尔,危地马拉,柬埔寨,乍得,索马里,津巴布韦,几内亚,卢旺达,贝宁,布隆迪,突尼斯,玻利维亚,比利时,海地,南苏丹,古巴,多米尼加,捷克,希腊,瑞典,葡萄牙,约旦,阿塞拜疆,洪都拉斯,阿联酋,塔吉克斯坦,匈牙利,以色列,白俄罗斯,巴布亚新几内亚,奥地利,瑞士,多哥,塞拉利昂,香港,老挝,巴拉圭,利比亚,保加利亚,塞尔维亚,黎巴嫩,尼加拉瓜,吉尔吉斯斯坦,萨尔瓦多,土库曼斯坦,丹麦,刚果（布）,芬兰,新加坡,斯洛伐克,挪威,阿曼,利比里亚,哥斯达黎加,新西兰,爱尔兰,巴勒斯坦,中非,毛里塔尼亚,巴拿马,科威特,克罗地亚,格鲁吉亚,乌拉圭,蒙古,波多黎各,波黑,牙买加,亚美尼亚,卡塔尔,阿尔巴尼亚,立陶宛,纳米比亚,摩尔多瓦,冈比亚,博茨瓦纳,加蓬,莱索托,斯洛文尼亚,马其顿,几内亚比绍,拉脱维亚,巴林,赤道几内亚,特立尼达和多巴哥,东帝汶,爱沙尼亚,毛里求斯,塞浦路斯,斯威士兰,吉布提,斐济群岛,科摩罗,圭亚那,不丹,所罗门群岛,澳门,卢森堡,黑山,苏里南,佛得角,马尔代夫,马耳他,文莱,伯利兹,巴哈马,冰岛,瓦努阿图,巴巴多斯,法属波利尼西亚,新喀里多尼亚,圣多美和普林西比,萨摩亚,圣卢西亚,关岛,库拉索,基里巴斯,密克罗尼西亚联邦,格林纳达,圣文森特和格林纳丁斯,阿鲁巴,汤加,塞舌尔,安提瓜和巴布达,马恩岛,安道尔,多米尼克,开曼群岛,百慕大,马绍尔群岛,北马里亚纳群岛,格陵兰,美属萨摩亚,圣基茨和尼维斯,法罗群岛,荷属圣马丁,摩纳哥,法属圣马丁,特克斯和凯科斯群岛,列支敦士登,圣马力诺,直布罗陀,英属维尔京群岛,帕劳,图瓦卢,瑙鲁
2000,"1,262,645,000","1,056,575,548","282,162,411","211,513,822","142,343,583","174,790,339","122,283,853","127,657,862","146,596,869","98,899,845","126,843,000","66,224,809","77,991,757","68,831,561","79,910,411","47,105,830","63,240,196","65,623,397","82,211,508","62,952,639","60,912,500","58,892,514","33,499,177","44,967,713","56,942,108","31,964,557","46,719,698","47,008,111","39,629,965","40,567,864","23,650,159","36,870,796","27,275,019","31,042,238","49,176,500","23,497,589","20,779,957","30,685,730","38,258,629","28,793,672","20,663,840","24,650,400","16,395,477","26,459,944","23,194,252","17,711,925","19,278,850","17,409,071","23,941,099","24,192,449","15,766,806","15,513,944","16,454,660","22,929,078","19,153,000","11,331,561","18,777,606","11,607,951","10,946,448","11,148,751","15,342,350","22,442,971","14,883,626","10,415,942","16,410,847","12,681,123","15,925,513","9,797,731","11,589,761","12,155,241","8,355,654","8,872,250","11,881,482","8,240,735","7,933,688","6,865,946","6,378,871","9,708,347","8,418,270","10,251,250","8,463,802","6,199,396","11,126,423","8,471,317","10,255,063","10,805,808","8,872,109","10,289,898","5,122,495","8,048,600","6,574,510","3,134,067","6,216,329","10,210,971","6,289,000","9,979,610","5,847,590","8,011,566","7,184,250","4,924,406","4,584,570","6,665,000","5,323,701","5,323,202","5,357,893","8,170,172","7,516,346","3,842,774","5,069,310","4,898,400","5,887,930","4,516,128","5,339,616","3,127,420","5,176,209","4,027,887","5,388,720","4,490,967","2,267,973","2,848,447","3,962,369","3,857,700","3,805,174","2,922,153","3,640,421","2,630,217","3,030,333","2,045,123","4,468,302","4,077,131","3,319,734","2,397,417","3,810,605","3,751,176","2,654,698","3,069,597","592,467","3,089,027","3,499,536","1,794,583","2,923,783","1,317,708","1,643,333","1,228,359","2,032,805","1,988,925","2,026,350","1,201,305","2,367,550","664,610","606,180","1,267,159","884,366","1,396,985","1,186,873","943,288","1,005,432","717,577","811,011","542,358","746,718","591,014","412,665","427,772","436,300","604,950","470,944","428,178","279,396","390,087","333,166","247,310","298,045","281,205","184,964","271,511","240,681","213,230","142,264","174,454","156,737","155,323","133,860","84,405","107,405","102,837","107,787","90,866","97,962","81,131","76,007","76,942","65,390","69,650","42,305","61,833","50,754","57,453","56,200","57,816","44,083","46,738","30,519","32,148","28,935","20,171","33,184","27,460","31,081","20,313","19,104",#REF!,"10,335"
2001,"1,271,850,000","1,075,000,094","284,968,955","214,427,419","145,978,408","177,196,051","125,394,046","130,088,709","145,976,482","100,298,152","127,149,000","68,159,422","79,672,869","70,152,662","80,742,500","48,428,534","64,192,243","66,449,111","82,349,925","63,539,190","61,357,432","59,119,673","34,385,849","45,571,272","56,974,100","32,848,569","47,225,119","47,370,164","40,255,956","40,850,412","24,388,974","37,275,644","27,971,077","31,451,513","48,662,400","24,208,178","21,606,992","31,020,902","38,248,076","29,126,323","21,202,646","24,964,450","16,945,753","26,799,289","23,709,115","18,221,884","19,756,929","17,918,369","24,347,113","24,646,471","16,260,933","15,928,910","16,853,027","23,132,982","19,413,000","11,751,364","18,911,727","11,944,589","11,271,603","11,432,001","15,516,112","22,131,970","14,858,335","10,692,197","16,766,555","12,914,660","16,046,180","10,036,102","11,871,565","12,405,411","8,678,049","9,186,719","11,923,906","8,417,082","8,231,150","7,076,728","6,525,546","9,793,915","8,580,244","10,286,570","8,608,810","6,447,791","11,164,676","8,598,599","10,216,605","10,862,132","8,895,960","10,362,722","5,217,328","8,111,200","6,751,912","3,302,722","6,318,510","10,187,576","6,439,000","9,928,549","5,974,627","8,042,293","7,229,854","5,062,571","4,754,069","6,714,300","5,409,584","5,428,442","5,443,249","8,009,142","7,503,433","3,990,999","5,145,367","4,945,100","5,927,001","4,564,087","5,358,783","3,217,930","5,188,008","4,138,012","5,378,867","4,513,751","2,294,959","2,953,928","4,034,074","3,880,500","3,866,243","2,997,784","3,722,016","2,702,405","3,089,641","2,103,273","4,299,642","4,014,373","3,325,471","2,419,594","3,818,774","3,755,514","2,674,706","3,050,686","615,013","3,060,173","3,470,818","1,823,667","2,917,252","1,360,070","1,674,674","1,258,008","2,035,738","1,992,060","2,034,882","1,227,105","2,337,170","697,550","631,662","1,271,627","901,214","1,388,115","1,196,287","960,274","1,013,608","733,019","813,923","555,895","745,206","603,643","423,949","437,928","441,525","607,389","476,574","435,701","286,309","393,028","340,037","255,068","302,618","284,968","189,209","272,494","244,929","217,324","144,760","175,394","158,184","156,395","129,047","85,844","107,170","103,242","107,893","92,892","98,482","81,202","77,212","77,707","67,344","69,671","43,934","62,504","51,411","58,319","56,350","58,496","44,602","46,999","30,600","32,474","29,847","21,578","33,543","27,818","31,604","20,675","19,390",#REF!,"10,219"
2002,"1,280,400,000","1,093,317,187","287,625,193","217,357,790","149,549,695","179,537,523","128,596,079","132,478,077","145,306,497","101,684,764","127,445,000","70,142,090","81,365,260","71,485,044","81,534,406","49,871,670","65,145,357","67,284,801","82,488,495","64,069,093","61,805,266","59,370,479","35,334,790","46,150,913","57,059,007","33,751,746","47,702,163","47,644,736","40,875,363","41,431,558","25,167,261","37,681,743","28,704,786","31,855,110","48,202,470","24,931,922","22,600,774","31,360,079","38,230,364","29,454,765","21,805,322","25,271,850","17,519,418","27,100,964","24,208,391","18,764,147","20,246,376","18,443,684","24,725,625","25,100,407","16,765,122","16,357,605","17,231,539","23,339,453","19,651,400","12,189,988","19,062,476","12,293,097","11,616,890","11,713,663","15,684,413","21,730,496","14,858,948","10,971,704","17,084,628","13,143,465","16,148,929","10,283,694","12,147,518","12,637,719","9,019,226","9,501,335","11,954,293","8,586,077","8,427,061","7,295,400","6,704,118","9,871,261","8,742,822","10,332,785","8,754,148","6,688,225","11,199,664","8,724,974","10,196,916","10,902,022","8,924,958","10,419,631","5,317,514","8,171,950","6,929,267","3,478,769","6,426,861","10,158,608","6,570,000","9,865,548","6,098,621","8,081,957","7,284,753","5,197,040","4,965,770","6,744,100","5,493,247","5,531,958","5,531,097","7,837,161","7,496,522","4,182,205","5,219,324","4,990,700","5,962,139","4,610,018","5,375,931","3,310,376","5,200,598","4,175,950","5,376,912","4,538,159","2,334,860","3,024,727","4,100,922","3,948,500","3,931,947","3,075,373","3,802,129","2,778,097","3,149,195","2,136,991","4,302,174","3,978,515","3,326,046","2,443,261","3,823,701","3,759,389","2,692,843","3,033,976","640,872","3,051,010","3,443,067","1,851,519","2,910,504","1,404,263","1,704,637","1,288,310","2,029,832","1,994,530","2,020,157","1,254,454","2,310,173","735,140","658,388","1,277,210","922,699","1,379,350","1,204,621","976,968","1,019,054","746,947","815,257","569,480","744,789","616,025","435,434","448,813","446,175","609,828","482,228","442,955","294,185","395,969","346,777","262,387","307,657","287,523","193,927","273,423","248,976","221,490","147,450","176,410","159,392","157,173","129,205","87,308","107,027","103,636","108,095","94,992","99,023","83,723","78,298","78,318","70,048","69,840","45,347","62,912","52,368","58,412","56,609","59,077","45,168","47,235","30,777","32,804","30,913","23,230","33,885","28,175","32,097","21,128","19,642",#REF!,"10,102"
2003,"1,288,400,000","1,111,523,146","290,107,933","220,309,473","153,093,371","181,809,244","131,900,634","134,791,598","144,648,618","103,081,020","127,718,000","72,170,581","83,051,970","72,826,102","82,301,650","51,425,583","66,089,402","68,122,947","82,534,176","64,549,867","62,244,880","59,647,577","36,337,778","46,719,203","57,313,203","34,678,781","48,148,907","47,892,330","41,483,872","42,187,645","25,980,547","38,087,866","29,460,517","32,264,159","47,812,949","25,644,503","23,680,871","31,644,028","38,204,570","29,782,884","22,456,645","25,567,650","18,121,477","27,372,217","24,698,821","19,331,097","20,750,308","18,985,001","25,080,880","25,551,624","17,279,139","16,800,869","17,599,613","23,542,434","19,895,400","12,647,983","19,224,036","12,654,624","11,982,692","12,000,183","15,849,649","21,574,326","14,909,019","11,256,740","17,415,214","13,369,678","16,225,302","10,541,470","12,415,334","12,856,171","9,373,913","9,815,412","11,982,219","8,753,097","8,557,160","7,520,556","6,909,161","9,945,282","8,905,820","10,376,133","8,900,108","6,935,665","11,229,185","8,850,317","10,193,998","10,928,070","8,958,229","10,458,821","5,434,036","8,234,100","7,106,323","3,711,931","6,541,550","10,129,552","6,689,700","9,796,749","6,223,378","8,121,423","7,339,001","5,330,629","5,201,074","6,730,800","5,576,640","5,632,983","5,620,545","7,775,327","7,480,591","4,388,378","5,292,115","5,043,300","5,994,075","4,655,752","5,390,574","3,406,915","5,213,014","4,114,826","5,373,374","4,564,855","2,386,164","3,077,055","4,164,053","4,027,200","3,996,521","3,154,969","3,881,185","2,857,150","3,209,056","2,161,626","4,303,399","3,951,736","3,323,661","2,468,765","3,826,095","3,762,179","2,709,438","3,017,938","681,791","3,039,616","3,415,213","1,879,113","2,902,320","1,449,925","1,734,387","1,319,946","2,018,355","1,995,733","2,026,773","1,283,297","2,287,955","778,708","686,670","1,283,564","947,110","1,370,720","1,213,370","993,562","1,022,796","759,639","816,078","583,213","745,142","627,840","447,016","460,157","451,630","612,267","487,938","449,925","302,681","398,582","353,295","269,428","313,123","289,521","198,960","274,331","252,707","225,296","150,405","177,481","160,530","157,723","131,897","88,840","106,902","104,003","108,322","97,016","99,591","82,781","79,311","78,878","73,180","70,102","46,624","63,325","53,465","57,954","56,765","59,495","45,749","47,439","31,472","33,144","32,055","25,008","34,172","28,561","32,556","21,674","19,812",#REF!,9990
2004,"1,296,075,000","1,129,623,466","292,805,298","223,285,666","156,664,698","184,006,479","135,320,420","136,986,429","144,067,316","104,514,934","127,761,000","74,239,508","84,710,544","74,172,073","83,062,819","53,068,869","67,010,930","68,951,279","82,516,260","64,995,303","62,704,901","59,987,905","37,379,766","47,291,610","57,685,327","35,635,267","48,564,489","48,082,519","42,075,953","42,921,895","26,821,300","38,491,970","30,214,189","32,692,153","47,451,626","26,313,838","24,726,689","31,940,655","38,182,222","30,115,196","23,132,686","25,864,350","18,758,138","27,624,226","25,190,647","19,910,549","21,272,328","19,540,096","25,419,337","25,996,594","17,802,992","17,259,322","17,970,493","23,732,740","20,127,400","13,125,914","19,387,153","13,030,576","12,369,078","12,301,837","16,014,972","21,451,748","15,012,984","11,550,641","17,827,827","13,596,390","16,281,779","10,810,086","12,682,108","13,066,475","9,734,761","10,130,251","12,019,911","8,925,729","8,680,516","7,750,003","7,131,688","10,022,278","9,069,044","10,421,137","9,047,082","7,213,354","11,250,369","8,974,444","10,197,101","10,955,141","8,993,531","10,483,861","5,580,241","8,306,500","7,282,953","4,068,577","6,662,391","10,107,146","6,809,000","9,730,146","6,354,247","8,171,966","7,389,625","5,467,770","5,433,995","6,783,500","5,662,199","5,730,556","5,710,163","7,716,860","7,463,157","4,569,377","5,364,930","5,104,700","6,023,801","4,703,396","5,404,523","3,510,468","5,228,172","4,166,664","5,372,280","4,591,910","2,445,524","3,135,654","4,225,156","4,087,500","4,070,262","3,236,626","3,959,883","2,939,246","3,269,356","2,200,498","4,304,600","3,927,340","3,321,486","2,496,394","3,826,878","3,764,194","2,725,017","3,000,715","753,332","3,026,939","3,377,075","1,907,737","2,895,147","1,496,524","1,765,533","1,353,788","2,005,953","1,997,012","2,032,544","1,313,492","2,263,122","829,846","716,949","1,290,115","971,889","1,362,550","1,221,003","1,010,410","1,026,287","771,599","817,864","597,230","745,737","638,809","458,549","471,600","458,095","613,353","493,680","456,619","311,265","401,268","359,434","276,516","318,893","292,074","204,123","275,283","255,995","228,750","153,736","178,597","161,821","158,094","134,192","90,498","106,624","104,346","108,520","98,744","100,214","82,475","80,347","79,515","76,250","70,387","47,899","63,740","54,476","57,240","56,911","59,684","46,323","47,600","32,488","33,499","33,187","26,709","34,444","28,942","32,930","22,329","19,861",#REF!,9906
2005,"1,303,720,000","1,147,609,924","295,516,599","226,289,468","160,304,007","186,127,108","138,865,014","139,035,505","143,518,814","106,005,199","127,773,000","76,346,310","86,326,251","75,523,576","83,832,662","54,785,894","67,903,461","69,762,345","82,469,422","65,416,189","63,179,356","60,401,206","38,450,323","47,880,595","57,969,484","36,624,897","48,949,931","48,184,561","42,647,731","43,653,155","27,684,590","38,892,924","30,949,514","33,149,720","47,105,171","26,922,279","25,654,274","32,243,753","38,165,445","30,455,563","23,816,175","26,167,000","19,433,604","27,866,140","25,690,615","20,493,927","21,814,648","20,107,416","25,744,500","26,432,445","18,336,722","17,733,408","18,354,513","23,904,167","20,394,800","13,624,474","19,544,988","13,421,935","12,775,509","12,625,950","16,182,713","21,319,685","15,147,029","11,856,244","18,361,178","13,825,839","16,319,868","11,090,123","12,948,292","13,273,355","10,096,630","10,446,856","12,076,697","9,109,585","8,840,220","7,982,223","7,364,857","10,106,778","9,232,301","10,478,617","9,195,289","7,535,931","11,261,586","9,097,262","10,211,216","10,987,314","9,029,572","10,503,330","5,765,639","8,391,850","7,458,982","4,588,222","6,789,318","10,087,065","6,930,100","9,663,915","6,494,902","8,227,829","7,437,115","5,611,643","5,645,629","6,813,200","5,751,675","5,824,095","5,798,615","7,658,972","7,440,769","4,698,761","5,438,692","5,162,600","6,052,124","4,754,652","5,419,432","3,622,775","5,246,096","4,265,762","5,372,807","4,623,291","2,511,254","3,218,114","4,285,504","4,133,900","4,159,914","3,320,396","4,038,380","3,024,198","3,330,222","2,270,196","4,310,145","3,902,469","3,321,799","2,526,429","3,821,362","3,765,332","2,740,000","2,981,262","865,410","3,011,487","3,322,528","1,938,316","2,888,111","1,543,745","1,799,077","1,390,550","1,996,115","2,000,474","2,036,855","1,344,931","2,238,799","889,157","749,527","1,296,497","995,130","1,354,775","1,228,254","1,027,657","1,030,575","783,248","821,606","611,625","746,156","648,744","469,918","482,863","465,158","614,261","499,461","463,034","319,604","403,834","365,112","283,798","324,848","296,734","209,282","276,320","258,780","232,250","157,472","179,722","163,408","158,406","137,658","92,319","106,135","104,658","108,617","100,028","100,908","82,858","81,462","80,293","78,871","70,580","49,261","64,154","55,257","56,547","56,935","59,557","46,852","47,731","33,011","33,842","34,252","28,181","34,718","29,324","33,222","23,106","19,784",9997,#REF!
2006,"1,311,020,000","1,165,486,291","298,379,912","229,318,262","164,022,626","188,167,353","142,538,305","140,921,154","143,049,637","107,560,155","127,854,000","78,489,205","87,888,675","76,873,670","84,617,545","56,578,046","68,756,809","70,554,756","82,376,451","65,812,540","63,621,376","60,846,820","39,548,666","48,489,464","58,143,979","37,649,039","49,301,049","48,438,292","43,200,901","44,397,319","28,571,475","39,289,876","31,661,824","33,641,007","46,787,786","27,448,124","26,433,058","32,571,174","38,141,267","30,804,689","24,498,313","26,488,250","20,149,905","28,102,055","26,201,954","21,080,108","22,379,057","20,687,648","26,066,687","26,850,190","18,880,265","18,223,677","18,754,914","24,054,866","20,697,900","14,143,969","19,695,977","13,829,173","13,203,378","12,973,693","16,354,507","21,193,760","15,308,085","12,173,518","19,059,257","14,059,379","16,346,101","11,382,272","13,213,330","13,477,705","10,457,122","10,763,904","12,155,496","9,307,421","9,043,342","8,216,893","7,607,850","10,201,211","9,395,449","10,547,958","9,344,784","7,907,407","11,261,241","9,218,681","10,238,905","11,020,362","9,080,505","10,522,288","5,991,547","8,484,550","7,634,295","5,300,172","6,922,590","10,071,370","7,053,700","9,604,924","6,646,891","8,268,641","7,483,934","5,762,881","5,829,240","6,857,100","5,846,075","5,913,212","5,886,874","7,601,022","7,411,569","4,759,760","5,513,757","5,218,400","6,079,395","4,810,114","5,437,272","3,745,143","5,266,268","4,401,365","5,373,054","4,660,677","2,580,753","3,329,211","4,345,421","4,184,600","4,273,591","3,406,334","4,118,075","3,111,908","3,391,673","2,373,661","4,311,159","3,880,347","3,325,403","2,558,854","3,805,214","3,765,422","2,754,414","2,958,301","1,022,704","2,992,547","3,269,909","1,971,318","2,880,095","1,591,444","1,835,911","1,430,144","1,989,933","2,006,868","2,040,228","1,377,582","2,218,357","958,423","784,494","1,302,552","1,016,437","1,346,810","1,233,996","1,045,508","1,036,095","794,554","827,869","626,427","746,335","657,404","481,086","493,804","472,637","615,025","505,292","469,171","327,489","405,308","370,262","291,338","331,032","303,782","214,379","277,475","261,007","235,750","161,676","180,874","165,378","158,649","141,239","94,341","105,374","104,938","108,602","100,830","101,714","84,600","82,715","81,283","80,995","70,718","50,729","64,523","55,765","55,886","56,774","59,109","47,333","47,793","33,441","34,189","35,240","29,394","34,975","29,694","33,420","24,022","19,545","10,118",#REF!
2007,"1,317,885,000","1,183,209,471","301,231,207","232,374,239","167,808,106","190,130,445","146,339,971","142,660,381","142,805,114","109,170,503","128,001,000","80,674,343","89,405,482","78,232,124","85,419,588","58,453,687","69,581,854","71,336,476","82,266,372","66,182,064","64,016,227","61,322,463","40,681,416","49,119,766","58,438,310","38,705,934","49,621,479","48,683,638","43,737,512","45,226,803","29,486,335","39,684,303","32,360,619","34,166,976","46,509,355","27,911,242","27,100,542","32,889,025","38,120,560","31,163,670","25,184,589","26,868,000","20,905,360","28,333,050","26,720,367","21,673,319","22,963,946","21,282,514","26,382,586","27,247,601","19,433,520","18,730,283","19,171,250","24,188,330","20,827,600","14,685,404","19,842,044","14,252,029","13,651,455","13,341,808","16,530,201","20,882,982","15,484,192","12,502,958","19,878,257","14,296,554","16,381,696","11,687,078","13,477,017","13,679,953","10,818,031","11,080,122","12,255,920","9,518,159","9,273,759","8,454,790","7,862,226","10,304,729","9,558,438","10,625,700","9,495,336","8,315,144","11,251,117","9,338,856","10,298,828","11,048,473","9,148,092","10,542,964","6,255,290","8,581,300","7,808,520","6,168,846","7,062,667","10,055,780","7,180,100","9,560,953","6,808,503","8,295,487","7,551,117","5,920,360","5,989,641","6,916,300","5,944,950","5,998,430","5,974,786","7,545,338","7,381,579","4,767,347","5,590,066","5,268,400","6,105,810","4,870,142","5,461,438","3,876,123","5,288,720","4,588,599","5,374,622","4,709,153","2,657,162","3,461,911","4,404,626","4,223,800","4,398,942","3,494,496","4,198,004","3,202,512","3,453,671","2,504,026","4,310,217","3,860,158","3,331,753","2,593,819","3,782,995","3,762,791","2,768,229","2,932,615","1,218,441","2,970,017","3,231,294","2,006,516","2,873,429","1,639,846","1,875,458","1,472,565","1,986,926","2,018,122","2,043,559","1,411,545","2,200,325","1,035,924","821,686","1,308,450","1,036,388","1,340,680","1,239,630","1,063,708","1,042,651","805,456","836,185","641,624","746,477","664,873","492,133","504,504","479,993","615,875","511,181","475,067","335,172","406,724","374,967","299,031","337,387","311,566","219,464","278,701","262,717","239,250","166,297","182,045","167,644","158,848","144,056","96,531","104,442","105,183","108,516","101,226","102,577","85,033","84,029","82,406","82,682","70,797","52,280","64,888","56,046","55,215","56,555","58,367","47,769","47,825","33,811","34,524","36,138","30,383","35,217","30,068","33,524","25,050","19,159","10,219",#REF!
2008,"1,324,655,000","1,200,669,762","304,093,966","235,469,755","171,648,984","192,030,362","150,269,622","144,304,164","142,742,366","110,815,272","128,063,000","82,916,236","90,901,967","79,636,081","86,243,424","60,411,195","70,418,612","72,120,608","82,110,097","66,530,980","64,374,979","61,806,995","41,853,944","49,779,472","58,826,731","39,791,984","49,929,642","49,054,708","44,254,972","45,954,106","30,431,734","40,080,159","33,060,844","34,730,604","46,258,189","28,385,739","27,722,281","33,247,118","38,125,759","31,536,807","25,888,535","27,302,800","21,695,636","28,562,321","27,236,003","22,276,596","23,563,832","21,892,149","26,666,581","27,635,827","19,996,476","19,252,674","19,605,568","24,310,143","21,249,200","15,250,913","19,983,984","14,689,725","14,113,578","13,727,899","16,708,255","20,537,875","15,776,938","12,848,531","20,664,037","14,535,740","16,445,593","12,004,700","13,739,299","13,883,835","11,183,589","11,397,188","12,379,553","9,738,796","9,524,532","8,696,915","8,126,104","10,414,425","9,721,457","10,709,973","9,646,570","8,736,932","11,236,975","9,458,079","10,384,603","11,077,841","9,219,637","10,558,177","6,556,473","8,763,400","7,980,955","7,089,486","7,209,924","10,038,188","7,308,800","9,527,985","6,976,200","8,321,496","7,647,675","6,083,417","6,133,599","6,957,800","6,046,630","6,081,296","6,058,740","7,492,561","7,350,222","4,764,745","5,667,436","5,318,700","6,131,767","4,935,765","5,493,621","4,011,487","5,313,399","4,839,396","5,379,233","4,768,212","2,750,956","3,607,863","4,463,123","4,259,800","4,489,544","3,591,977","4,273,368","3,296,237","3,516,204","2,656,010","4,309,705","3,848,449","3,340,221","2,631,899","3,760,866","3,754,261","2,781,869","2,907,615","1,436,670","2,947,314","3,198,231","2,043,382","2,867,964","1,689,288","1,915,636","1,518,538","1,987,130","2,021,316","2,046,898","1,446,936","2,177,322","1,114,645","860,839","1,314,449","1,055,428","1,337,090","1,244,121","1,081,568","1,049,948","816,361","845,356","657,227","746,815","671,611","503,366","515,232","488,650","616,969","517,122","480,846","343,448","409,379","379,418","306,822","343,680","317,414","224,700","279,946","264,064","242,750","171,122","183,270","170,011","159,037","145,880","98,760","103,549","105,457","108,401","101,362","103,384","86,956","85,394","83,515","83,860","70,829","53,835","65,273","56,166","54,621","56,328","57,490","48,178","47,822","33,964","34,860","36,880","31,200","35,469","30,434","33,570","26,096","18,708","10,315",#REF!
2009,"1,331,260,000","1,217,726,217","306,771,529","238,620,554","175,525,610","193,886,505","154,324,939","145,924,795","142,785,349","112,463,886","128,047,000","85,233,923","92,414,161","81,134,789","87,092,250","62,448,572","71,321,406","72,924,833","81,902,307","66,866,834","64,707,035","62,276,270","43,073,830","50,477,013","59,095,365","40,901,798","50,250,366","49,307,835","44,750,054","46,362,946","31,411,096","40,482,786","33,783,779","35,333,882","46,053,331","28,973,157","28,394,806","33,628,895","38,151,603","31,929,087","26,630,303","27,767,400","22,514,275","28,792,663","27,735,038","22,894,718","24,170,943","22,516,464","26,883,531","28,031,010","20,569,115","19,789,922","20,059,147","24,428,340","21,691,700","15,843,131","20,123,508","15,141,098","14,581,427","14,128,161","16,886,184","20,367,487","16,092,822","13,215,142","21,205,873","14,774,412","16,530,388","12,335,092","14,000,190","14,093,605","11,560,142","11,717,691","12,526,964","9,964,470","9,782,770","8,944,713","8,397,661","10,525,691","9,884,790","10,796,493","9,798,046","9,142,258","11,226,711","9,576,736","10,443,936","11,107,017","9,298,515","10,568,247","6,893,258","8,947,243","8,150,780","7,917,368","7,364,752","10,022,650","7,485,600","9,504,583","7,144,774","8,343,323","7,743,831","6,250,840","6,272,735","6,972,800","6,148,621","6,163,970","6,133,987","7,444,443","7,320,807","4,813,026","5,745,538","5,383,300","6,157,678","5,007,953","5,523,095","4,145,400","5,338,871","4,987,573","5,386,406","4,828,726","2,876,186","3,754,129","4,520,739","4,302,600","4,535,375","3,689,099","4,337,623","3,393,408","3,579,215","2,821,041","4,305,181","3,814,419","3,349,676","2,673,794","3,740,410","3,735,945","2,795,839","2,888,094","1,654,944","2,927,519","3,162,916","2,081,039","2,864,346","1,740,277","1,953,495","1,568,925","1,990,135","2,039,669","2,050,671","1,483,920","2,141,669","1,185,075","901,589","1,320,921","1,074,286","1,334,515","1,247,429","1,098,089","1,057,462","827,820","853,636","673,251","747,718","678,329","515,182","526,401","497,783","618,294","523,113","486,667","353,391","412,477","383,902","314,655","349,600","318,499","230,244","281,107","265,256","245,950","175,877","184,553","172,223","159,232","146,833","100,928","102,971","105,787","108,293","101,452","103,897","87,298","86,743","84,379","84,461","70,848","55,321","65,636","56,255","54,194","56,323","56,675","48,599","47,814","34,238","35,223","37,380","31,933","35,723","30,825","33,562","27,035","18,290","10,413",#REF!
